name	criterion	diff_prop	variability	origin
Peg13	14.1694561588028	-0.988195813730432	0.00486384420970399	P
Peg3	9.62082352670047	-0.997333362512383	0.0107462316290697	P
Airn	9.28155338249164	-0.963785219789185	0.0107824931279382	P
Peg10	9.27621145062624	-0.981725766894961	0.011200543579309	P
Gm38393	8.17362877230977	-1	0.0149682208264745	P
Plagl1	7.90386058673918	-0.981759922966364	0.0154287966977214	P
Sgce	7.43528834797694	-0.993640714456028	0.0178592462581547	P
H19	7.27520221727815	0.997472757207012	0.0187980130973077	M
Zrsr1	6.07813738129378	-0.947646498314271	0.0243081383970396	P
Snrpn	5.08763135404501	-0.999016543493326	0.0385579636839946	P
Igf2r	5.03939650419358	0.99415268536751	0.0389178750289335	M
H13	5.03556900486866	0.533815102282075	0.0112378856666917	M
Grb10	4.60165663732911	0.93059992421641	0.0408975795891199	M
Kcnq1ot1	4.33507958975905	-0.982633484035855	0.0513793927872726	P
Impact	4.24312740835032	-0.872708052308309	0.0423024792620068	P
Slc22a3	3.97059144215851	0.739262350696741	0.0346646463142283	M
Mcts2	3.67863371650121	-0.911680098055939	0.0614202888362339	P
Snhg14	3.54506519630538	-0.663495879406699	0.035029021583279	P
