name	criterion	diff_prop	variability	origin	flag
Zfp78	2.09503921850926	-0.358379529389633	0.0292618699067674	P	FLAG_significance
Gm11410	2.03221167016927	0.477032259250582	0.0551007634494816	M	FLAG_significance
Commd1	1.74622998017658	-0.259687636391873	0.0221156478930208	P	FLAG_significance
Slc22a18	1.55350049973579	0.192571110764795	0.015365952145307	M	FLAG_consistency
Tpx2	1.51656195065973	-0.205881073058361	0.0184294568061024	P	NO_FLAG
Ptgfr	1.51559169556924	-0.293639766309099	0.0375374965773376	P	NO_FLAG
Ticam2	1.47000232292561	0.244984457475818	0.0277741657289313	M	NO_FLAG
Ankrd37	1.22504907780734	-0.245963276406279	0.0403119274381974	P	NO_FLAG
Parp11	1.22380466972404	-0.234263891624623	0.0366426180016963	P	NO_FLAG
Pard6g	1.1977278318451	-0.156149945786147	0.0169968089430625	P	NO_FLAG
BC034090	1.14589441614452	0.244427232409812	0.0454998510017279	M	NO_FLAG
Kcnq1	1.13846980113635	0.179950449472675	0.0249840500563739	M	NO_FLAG
Gprc5b	1.13759761136843	0.24175408325782	0.0451617012201344	M	NO_FLAG
Gm25835	1.113730147227	-0.214984327768398	0.0372609266535213	P	NO_FLAG
Ttc6	1.09103228371713	0.206801958259646	0.035928086744072	M	NO_FLAG
Ccdc34	1.06160208417849	-0.19063295550381	0.0322457466275867	P	NO_FLAG
Cdnf	1.05821413155892	0.172440648130455	0.026554136248606	M	NO_FLAG
Ntm	1.03883313615796	-0.205728357625172	0.0392190193262321	P	NO_FLAG
P3h2	0.96823115282238	0.173763957651692	0.03220781738511	M	NO_FLAG
Spn	0.934576569494323	-0.164478286394268	0.0309732920707621	P	NO_FLAG
Atp2a3	0.93427621688702	-0.184203748423979	0.0388728462037309	P	NO_FLAG
Cd84	0.932082282477336	-0.201200408808247	0.0465960617478906	P	NO_FLAG
Dmrt2	0.889455147462401	0.215005409021122	0.0584319885072747	M	NO_FLAG
Gm5093	0.883567114294556	0.157435494866417	0.0317487199803656	M	NO_FLAG
Id1	0.856603221186678	-0.160861368376127	0.0352650180995174	P	NO_FLAG
Tbc1d9	0.836887721827536	-0.138863310351254	0.0275321822533814	P	NO_FLAG
Klrk1	0.827336792037455	-0.196060553289026	0.0561585352392254	P	NO_FLAG
Gm15788	0.789602661878332	0.180883279846813	0.0524782858647319	M	NO_FLAG
Ighd	0.703968481705668	-0.145283025109475	0.0425915375202023	P	NO_FLAG
