name	criterion	diff_prop	variability	origin	flag
Asb4	5.22791426423705	0.685090896051444	0.0171727354398752	M	FLAG_significance
Zim1	3.8968226147465	0.529522607501825	0.0184649331391543	M	FLAG_significance
Tsga13	3.47384101439752	0.672291864726899	0.0374537955191649	M	FLAG_significance
Gm16299	2.82496718611584	-0.581856699226831	0.0424233795746686	P	FLAG_significance
Gm11410	2.25094579278499	0.508475155633302	0.0510281005843574	M	FLAG_significance
Nhlrc1	2.07249799262204	-0.211293366491378	0.0103940185658302	P	NO_FLAG
Gm13669	2.06226756457762	0.341289875453528	0.0273877772698763	M	NO_FLAG
Rtl1	2.0042443896572	0.281800661053542	0.0197689071640099	M	FLAG_significance
Klhdc10	1.95108204611934	0.105359866701957	0.00291607950045	M	FLAG_consistency
Herc3	1.76822907358602	0.116512137799656	0.00434175474602323	M	FLAG_consistency
Stx6	1.73201061711133	0.235070462868481	0.0184202290060866	M	NO_FLAG
Lsp1	1.57319452997061	0.163678509525225	0.0108247647782633	M	NO_FLAG
Bcl2l1	1.55340603815703	-0.121598299793479	0.00612752408991019	P	FLAG_consistency
Pcdhga6	1.4749220275912	0.145163629380797	0.00968673708284894	M	NO_FLAG
Igf2	1.47377319078878	0.182973005829588	0.0154139072392638	M	FLAG_consistency
Tnfrsf23	1.46642254092458	0.191420478628098	0.0170395664380077	M	NO_FLAG
Ifitm10	1.455075166283	0.139111748155055	0.0091402223151783	M	NO_FLAG
Grb10	1.43974730223563	-0.164874209586741	0.0131139313606876	P	NO_FLAG
Begain	1.34874385493981	-0.167101776360861	0.015349816049717	P	NO_FLAG
Pcdhb12	1.30453359289501	0.170142529844873	0.0170104278792039	M	NO_FLAG
Henmt1	1.2832283666074	0.204261120988061	0.0253374858498856	M	NO_FLAG
Phactr2	1.16161015861739	0.0967696471058934	0.00693996870051727	M	NO_FLAG
Nsun5	1.13933639733351	0.10093506932519	0.00784838371696366	M	NO_FLAG
Chrac1	1.0859638070608	0.178187488753563	0.0269230161540128	M	NO_FLAG
Ier5	1.08429084673553	0.137381399228243	0.0160532987334634	M	NO_FLAG
Pom121	1.08365613054442	0.0992575274514997	0.00838965149258004	M	NO_FLAG
Cxcl5	1.08362101850217	-0.174457738351919	0.0259194412756403	P	NO_FLAG
Bdp1	1.0811427338746	-0.103224858868725	0.00911596245475359	P	NO_FLAG
Mr1	1.06977681051592	0.128499939836322	0.014428443717174	M	NO_FLAG
Gm44829	1.06208629381218	-0.179660486958542	0.0286144588015199	P	NO_FLAG
Gm16201	1.04987014302418	0.160334442461003	0.023322896318944	M	NO_FLAG
Smn1	1.01718147340205	-0.100452147786804	0.00975262602108419	P	NO_FLAG
Pcdhb20	1.00379049867558	-0.114419679667643	0.0129931751842069	P	NO_FLAG
Rem1	1.0015106462966	-0.16631242701453	0.0275764439427469	P	NO_FLAG
Gm30074	0.974137364228547	-0.149210824849178	0.0234617422460784	P	NO_FLAG
Gm37962	0.970440690464451	0.141238968686842	0.0211822007246781	M	NO_FLAG
Cox4i2	0.970154706596025	-0.137133267449797	0.019980376062352	P	NO_FLAG
Serpinb6b	0.967023145207141	0.122471432692705	0.0160396858860163	M	NO_FLAG
Tubd1	0.95896075779916	-0.113934557034583	0.0141159225009448	P	NO_FLAG
5930420M18Rik	0.954933849873816	-0.144397850096718	0.0228651933391748	P	NO_FLAG
Cyp27b1	0.92855316091348	-0.128076030921307	0.0190248909107292	P	NO_FLAG
Pcdhb10	0.90012042924877	0.102601272146693	0.0129928448941874	M	NO_FLAG
BC051142	0.899124596891962	-0.117839893874149	0.0171769055738628	P	NO_FLAG
C79130	0.880296564606267	-0.129443720092215	0.0216224029909777	P	NO_FLAG
Ppcs	0.871605284534992	-0.09587617468523	0.0120998973677557	P	NO_FLAG
Gm26532	0.863589749645791	-0.108352940831412	0.0157422370752391	P	NO_FLAG
Gm37403	0.861756694121093	0.134026068666373	0.0241885160894061	M	NO_FLAG
Cercam	0.831500596297884	-0.103158860389016	0.0153917479023377	P	NO_FLAG
Anxa9	0.83094048645437	0.125892744842039	0.0229541685008198	M	NO_FLAG
Gm37824	0.81338550875289	-0.112110355558557	0.0189975938371713	P	NO_FLAG
Egr2	0.803081373911299	-0.127355920010232	0.0251489100990298	P	NO_FLAG
Cdh15	0.788291294921764	-0.102052578706613	0.0167600189319683	P	NO_FLAG
Gm30437	0.778566985997188	0.126443886327771	0.0263756823025521	M	NO_FLAG
Sntg2	0.766356432408284	0.112747807692292	0.0216448508791338	M	NO_FLAG
Irf4	0.758779972245586	0.119133382177815	0.0246510387518308	M	NO_FLAG
Tlr9	0.757998926630961	0.130142706163864	0.0294783034362139	M	NO_FLAG
Cdhr2	0.743458351974168	0.128263334209573	0.0297640318866831	M	NO_FLAG
9530059O14Rik	0.742198076740668	-0.10264227536257	0.0191255041702944	P	NO_FLAG
Tsacc	0.728613703807576	0.100395423222715	0.0189859861303928	M	NO_FLAG
Iqank1	0.727838753818279	-0.0862639295478635	0.0140471468702009	P	NO_FLAG
Tph2	0.727727151147152	-0.0431780776259765	0.00352037921740766	P	NO_FLAG
Bfsp1	0.72754998528825	-0.0904033732996753	0.0154398685805673	P	NO_FLAG
Serf1	0.725857626183153	-0.112992808623901	0.0242325277986665	P	NO_FLAG
Rab38	0.725669183747959	-0.10592697632813	0.0213076615422147	P	NO_FLAG
Tcp11	0.724449075288379	0.120682506097227	0.0277506343780073	M	NO_FLAG
Ddx19a	0.71626542278119	0.0661978799675875	0.008541618874318	M	NO_FLAG
Fam180a	0.711468977648945	-0.0874017405606803	0.0150913546962512	P	NO_FLAG
Ucp3	0.693869595979338	0.117095065605761	0.0284787860281075	M	NO_FLAG
Gm15903	0.693665309961303	0.0913601613318233	0.0173465760105525	M	NO_FLAG
Gm10644	0.688575698282073	-0.113811750357084	0.0273193789777168	P	NO_FLAG
Gm26387	0.680529812291014	0.111479683409519	0.0268347246140372	M	NO_FLAG
Taf9	0.679817143027004	-0.103540615013276	0.0231972902487528	P	NO_FLAG
Ankrd61	0.669241998949777	0.0760091009610888	0.0128992605759568	M	NO_FLAG
Il11	0.665881745323892	-0.096666312862655	0.0210744422200028	P	NO_FLAG
Gm5620	0.657576316360499	-0.107076766594977	0.0265153992342842	P	NO_FLAG
1600002K03Rik	0.633909817955779	0.0963036293548384	0.0230797102749687	M	NO_FLAG
Gpr160	0.626740263013688	0.0951490855332995	0.023048042512816	M	NO_FLAG
B130021K23Rik	0.614743532394809	0.100263026127121	0.0266007376516363	M	NO_FLAG
Slc43a1	0.581109499302259	0.0871822215171412	0.0225081558053253	M	NO_FLAG
Gm44770	0.567305249802239	0.0839755147358688	0.0219114815821766	M	NO_FLAG
